der Adler;águila
der Affe;mono
die Ameise;hormiga
die Auster;ostra
der Bär;oso
die Biene;abeja
der Bulle;toro
der Dachs;tejón
das Eichhörnchen;ardilla
der Eisbär;oso blanco
der Eisbär;oso polar
der Elefant;elefante
die Ente;pato
der Esel;burro
die Feder;pluma
der Fisch;pez
die Fledermaus;murciélago
die Fliege;mosca
die Fliege;mosquito
der Floh;pulga
die Flosse;aleta
der Flügel;ala
der Frosch;rana
der Fuchs;zorro
die Gans;ganso
die Garnele;gamba
die Giraffe;jirafa
der Gorilla;gorila
der Grashüpfer;saltamontes
der Hahn;gallo
der Hai;tiburón
der Hamster;hámster
der Hase;liebre
der Hirsch;ciervo
das Horn;cuerno
das Hühnchen;pollo
der Hund;perro
der Igel;erizo
das Insekt;insecto
der Käfer;escarabajo
die Kakerlake;cucaracha
das Kalb;ternero
das Kaninchen;conejo
der Kater;gato
das Kätzchen;gatito
die Katze;gato
der Kolibri;colibri
die Krabbe;cangrejo
der Krebs;cangrejo
das Krokodil;cocodrilo
die Kuh;vaca
der Lachs;salmón
das Lamm;cordero
der Löwe;león
das Maultier;mulo
die Maus;ratón
der Moskito;mosquito
die Mücke;mosquito
die Muschel;almeja
das Nest;nido
der Papagei;loro
der Papagei;papagayo
das Pferd;caballo
die Pfote;pata
der Pinguin;pingüino
die Pute;pavo
die Qualle;medusa
die Ratte;rata
die Raupe;oruga
die Schabe;cucaracha
das Schaf;oveja
die Schildkröte;tortuga
der Schimpanse;chimpancé
die Schlange;serpiente
der Schmetterling;mariposa
die Schnecke;caracol
der Schwan;cisne
der Schwanz;cola
das Schwein;cerdo
der Skorpion;escorpión
die Spinne;araña
der Stier;toro
die Taube;paloma
das Tier;animal
der Tiger;tigre
der Tintenfisch;calamar
der Truthahn;pavo
der Tunfisch;atún
der Vogel;pájaro
der Wal;ballena
die Wespe;avispa
der Wolf;lobo
das Zebra;cebra
die Ziege;cabra
