die Ader;vena
der Arm;brazo
die Augen;ojos
die Augenbraue;ceja
der Bart;barba
der Bauch;vientre
der Bauch;barriga
das Bein;pierna
das Blut;sangre
die Brust;pecho
der Busen;seno
der Busen;pecho
der Darm;intestino
der Daumen;pulgar
der Ellenbogen;codo
die Erkältung;resfriado
die Erkältung;constipado
die Erkrankung;enfermedad
der Finger;dedo
der Fingernagel;uña
der Fuß;pie
das Gehirn;cerebro
das Gesicht;cara
die Gesundheit;salud
das Haar;cabello
das Haar;pelo
der Hals;cuello
die Hand;mano
die Haut;piel
das Herz;corazón
der Husten;tos
das Kinn;barbilla
das Kinn;mentón
das Knie;rodilla
der Knöchel;tobillo
der Knochen;hueso
der Kopf;cabeza
der Körper;cuerpo
die Krankheit;enfermedad
die Leber;hígado
die Lippe;labio
der Magen;estómago
der Mund;boca
der Muskel;músculo
der Nacken;cuello
die Nase;nariz
der Nerv;nervio
das Ohr;oreja
der Rücken;espalda
der Schmerz;dolor
der Schnupfen;resfriado
die Schulter;hombro
das Skelett;esqueleto
die Stirn;frente
die Taille;cintura
die Träne;lágrima
die Vene;vena
der Zahn;diente
die Zähne;dientes
der Zeh;dedo del pie
die Zunge;lengua
