der Anzug;traje
der Arbeitsanzug;mono
der Ärmel;manga
der Badeanzug;traje de baño
der BH;sujetador
die Bluse;blusa
der Büstenhalter;sujetador
der Gürtel;cinturón
die Halskette;collar
das Halstuch;bufanda
der Handschuh;guante
die Handtasche;bolso
der Helm;casco
das Hemd;camisa
das Höschen;braga
die Hose;pantalón
die Hose;pantalones
der Hut;sombrero
die Jacke;chaqueta
die Jeans;vaquero
die Jeans;vaqueros
der Kamm;peine
die Kette;collar
das Kleid;vestido
die Kleider;ropa
die Kleidung;ropa
der Knopf;botón
der Kragen;cuello
die Krawatte;corbata
der Mantel;abrigo
der Mantel;chaqueta
die Mode;moda
der Morgenmantel;bata
die Mütze;gorro
die Mütze;gorra
das Nachthemd;camisón
der Ohrring;pendiente
der Overall;mono
der Pullover;jersey
der Regenmantel;impermeable
der Regenschirm;paraguas
der Ring;anillo
der Rock;falda
der Schal;bufanda
der Schirm;paraguas
der Schlüpfer;braga
der Schnürsenkel;cordón
der Schuh;zapato
die Seide;seda
der Slip;braga
die Socke;media
die Socke;calcetín
der Stiefel;bota
der Stiefel;zapato
der Strumpf;media
das T-Shirt;camiseta
die Tasche;bolso
der Trainingsanzug;chándal
die Trainingsjacke;chándal
die Uhr;reloj
die Unterwäsche;ropa interior
die Weste;chaleco
die Wolle;lana
