Ägypten;Egipto
Algerien;Argelia
Armenien;Armenia
Aserbaidschan;Azerbaiyán
Belgien;Bélgica
Brasilien;Brasil
Bulgarien;Bulgaria
China;China
Dänemark;Dinamarca
Deutschland;Alemania
Elfenbeinküste;Costa de Marfil
England;Inglaterra
Estland;Estonia
Finnland;Finlandia
Frankreich;Francia
Georgien;Georgia
Griechenland;Grecia
Großbritannien;Reino Unido
Irland;Irlanda
Island;Islandia
Italien;Italia
Japan;Japón
Kambodscha;Cambodia
Kanada;Canadá
Kasachstan;Kazajstán
Kolumbien;Colombia
Kroatien;Croacia
Lettland;Letonia
Libanon;Líbano
Litauen;Lituania
Luxemburg;Luxemburgo
Malaysia;Malasia
Malediven;Maldivas
Marokko;Marruecos
Mauritius;Mauritania
Neuseeland;Nueva Zelandia
Niederlande;Países Bajos
Nordkorea;Corea del Norte
Norwegen;Noruega
Philippinen;Filipinas
Polen;Polonia
Portugal;Portugal
Rumänien;Rumania
Russland;Rusia
Schottland;Escocia
Schweden;Suecia
Schweiz;Suiza
Slowakei;Eslovaquia
Slowenien;Eslovenia
Spanien;España
Südafrika;Sudáfrica
Südkorea;Corea del Sur
Taiwan;Taiwán
Thailand;Tailandia
Tschechien;República Checa
Tschechische Republik;República Checa
Tunesien;Túnez
Türkei;Turquía
Ukraine;Ucrania
Ungarn;Hungría
USA;Estados Unidos
Vatikan Stadt;Ciudad del Vaticano
Vereinigte Staaten von Amerika;Estados Unidos
Wales;Gales
Weißrussland;Belarús
Zypern;Chipre
