die Administration;administración
anrufen;llamar
die Arbeit;trabajo
der Arbeitnehmer;empleado
die Armut;pobreza
die Bank;banco
die Banknote;billete de banco
die Banknote;billete
das Bargeld;metálico
berechnen;facturar
der Beruf;profesión
der Beruf;trabajo
besprechen;discutir
der Bestand;inventario
der Betrag;cantidad
das Büro;oficina
der Cent;céntimo
debattieren;discutir
das Defizit;déficit
die Deflation;deflación
die Depression;depresión
die Dienstleistung;servicio
der Diskont;descuento
diskutieren;discutir
die Einlage;depósito
entlassen;despedir
die Ermäßigung;descuento
erörtern;discutir
der Fehlbetrag;déficit
fiskal;fiscal
die Fracht;carga
das Fremdkapital;deuda
die Führungskraft;ejecutivo
das Geld;dinero
das Geld;moneda
die Geldschein;billete de banco
die Geldschein;billete
das Geschäft;tienda
das Geschäft;negocio
die Güter;bienes
der Händler;vendedor
die Hauptstadt;capital
in Rechnung stellen;facturar
die Industrie;industria
das Inventar;inventario
das Kapital;capital
der Kollege;colega
der Kollege;compañero
der Konsum;consumo
der Kredit;crédito
die Kreditkarte;tarjeta de crédito
der Laden;tienda
der Markt;mercado
die Menge;cantidad
der Millionär;millonario
die Ökonomie;economía
ökonomisch;económico
der Preis;precio
das Prozent;por ciento
die Quote;cuota
der Rabatt;descuento
die Rate;cuota
die Rechnung;cuenta
die Rechnung;factura
reich;adinerado
reich;rico
reich;rica
der Reichtum;riqueza
der Scheck;cheque
die Schulden;deuda
der Service;servicio
die Steuer;impuesto
der Überschuss;excedente
das Unternehmen;empresa
der Unternehmer;empresario
die Unterschrift;firma
verhandeln;negociar
der Verkäufer;vendedor
der Verlust;pérdida
das Vermögen;fortuna
vermögend;adinerado
die Verwaltung;administración
die Währung;moneda
die Webseite;sitio web
das Wechselgeld;cambio
die Wirtschaft;economía
wirtschaftlich;económico
wirtschaftlich;económica
wohlhabend;adinerado
die Zahlung;pago
der Zins;interés
