der Apfel;manzana
die Banane;plátano
die Banane;banana
die Bohne;judía
das Bonbon;caramelo
das Brot;pan
die Butter;mantequilla
das Ei;huevo
das Eis;helado
das Essen;comida
der Essig;vinagre
das Filet;solomillo
der Fisch;pescado
das Fleisch;carne
die Frucht;fruta
das Gemüse;verdura
das Getreide;cereal
das Gewürz;especia
das Gewürz;condimento
die Grapefruit;toronja
das Hähnchen;pollo
der Hamburger;hamburguesa
die Himbeere;frambuesa
der Honig;miel
die Honigmelone;melón
das Hühnchen;pollo
das Hülsenfrucht;legumbre
der Joghurt;yogur
die Karotte;zanahoria
die Kartoffel;patata
der Käse;queso
das Ketchup;kétchup
der Kuchen;pastel
der Lachs;salmón
das Lamm;cordero
das Mahl;comida
die Mahlzeit;comida
die Margarine;margarina
die Mayonnaise;mahonesa
das Mehl;harina
die Melone;melón
die Melone;sandía
die Nudeln;pasta
das Öl;aceite
das Olivenöl;aceite de oliva
die Orange;naranja
die Pasta;pasta
der Pfeffer;pimienta
der Reis;arroz
die Rosine;uva pasa
die Rosine;pasa de uva
die Rosine;pasa
die Sahne;nata
der Salat;ensalada
das Salz;sal
der Schinken;jamón
die Schokolade;chocolate
das Schwein;cerdo
der Senf;mostaza
die Soße;salsa
die Suppe;sopa
die Tomate;tomate
das Wasser;agua
die Wassermelone;sandía
die Wurst;salchicha
die Wurstware;embutido
der Zimt;canela
die Zitrone;limón
der Zucker;azúcar
der Abzug;campana
das Arbeitszimmer;despacho
der Aschenbecher;cenicero
die Badewanne;bañera
das Badezimmer;baño
das Badezimmer;cuarto de baño
die Badezimmerwaage;báscula de baño
der Balkon;balcón
das Bett;cama
die Bettdecke;manta
das Bettlaken;sábana
das Betttuch;sábana
das Bild;cuadro
die Blume;flor
der Boden;suelo
der Briefkasten;buzón
das Bügeleisen;plancha
der Computer;computadora
der Computer;computador
der Computer;ordenador
der Dach;tejado
der Dachboden;desván
die Dachziegel;teja
die Decke;colcha
die Decke;techo
die Decke;manta
der Drucker;impresora
die Dusche;ducha
die Ecke;rincón
die Ecke;esquina
der Eimer;balde
der Eimer;cubo
das Esszimmer;comedor
die Etage;piso
das Fenster;ventana
der Fernseher;televisor
das Feuer;fuego
der Flur;pasillo
der Fotoapparat;máquina de fotos
der Fotoapparat;máquina fotográfica
der Füller;pluma
der Fußboden;suelo
die Gabel;tenedor
die Garage;garaje
der Garten;jardín
der Gefrierschrank;congelador
das Gemälde;cuadro
das Glas;vaso
die Glühbirne;bombilla
die Glühlampe;bombilla
der Haarschneider;cortapelo
das Handtuch;toalla
das Haus;casa
der Heizer;calefactor
das Heizgerät;calefactor
die Kamera;cámara
die Kamera;máquina de fotos
die Kamera;máquina fotográfica
der Kamin;chimenea
die Kassette;cassette
der Keller;sótano
die Kerze;vela
das Kissen;almohada
das Kissen;cojín
die Klimaanlage;aire acondicionado
die Klingel;timbre
die Küche;cocina
der Küchenabzug;campana
die Küchenwaage;balanza de cocina
der Kühlschrank;frigorífico
der Kühlschrank;nevera
die Lampe;lámpara
das Laptop;portátil
die Leiter;escalera
der Löffel;cuchara
die Matratze;colchón
die Mauer;muro
das Messer;cuchillo
der Mikrowellenherd;horno microondas
der Mikrowellenherd;microonda
der Monitor;monitor
das Notebook;ordenador portátil
der Ofen;horno
das Papier;papel
die Pfeife;pipa
das Radio;radio
der Rasierapparat;afeitadora
der Raum;cuarto
der Raum;habitación
das Regal;estante
das Rohr;tubo
die Schallplatte;disco
die Schaufel;pala
das Schlafzimmer;dormitorio
das Schloss;cerradura
der Schlüssel;llave
der Schornstein;chimenea
der Schrank;armario
der Schreibtisch;escritorio
die Schublade;cajón
die Seife;jabón
die Serviette;servilleta
der Sessel;sillón
das Sofa;sofá
die Speisekammer;despensa
der Spiegel;espejo
der Staubsauger;aspirador
der Staubsauger;aspiradora
das Stockwerk;piso
der Stuhl;silla
der Taschenrechner;calculadora
die Tasse;taza
das Telefon;teléfono
der Teller;plato
der Teppich;alfombra
die Terrasse;terraza
der Tisch;mesa
der Toaster;tostadora
die Toilette;aseo
die Toilette;lavabo
die Toilette;baño
die Treppe;escalera
das Treppenhaus;caja de la escalera
das Trinkglas;vaso
die Tür;puerta
das Türschloss;cerradura
die Uhr;reloj
der Ventilator;ventilador
die Videokamera;cámara
der Vorhang;cortina
die Vorratskammer;despensa
die Waage;báscula
die Wand;pared
der Wasserhahn;grifo
der Wasserhahn;llave
der Wecker;despertador
die Wohnung;apartamento
die Wohnung;piso
das Wohnzimmer;sala
das Wohnzimmer;salón
die Zahnbürste;cepillo
die Zahnbürste;cepillo de dientes
der Zaun;cercado
der Zaun;valla
die Ziegel;teja
die Zigarette;cigarrillo
die Zigarre;cigarro
das Zimmer;cuarto
die Zimmerdecke;techo
der Apfelsaft;zumo de manzana
der Apfelwein;sidra
das Bier;cerveza
der Branntwein;aguardiente
der Champagner;champán
die Dose;lata
der Espresso;café exprés
der Espresso;café expréso
die Flasche;botella
der Kaffee;café
der Kakao;cacao
die Limonade;limonada
die Milch;leche
die Mineralwasser;agua mineral
der Orangensaft;zumo de naranja
der Saft;zumo
der Schnaps;aguardiente
der Sekt;champán
der Tee;té
der Traubensaft;zumo de uva
das Wasser;agua
der Wein;vino
