der Anwalt;abogado
der Apotheker;farmacéutico
der Arbeiter;trabajador
die Arbeiterin;trabajadora
der Architekt;arquitecto
der Arzt;médico
der Arzt;doctor
der Autor;escritor
der Banker;banquero
die Bankerin;banquera
der Bankier;banquero
der Beamte;funcionario
die Beamtin;funcionaria
der Bergarbeiter;minero
der Briefträger;cartero
der Buchhalter;contable
der Busfahrer;conductor de autobús
der Chef;jefe
der Dekorateur;decorador
der Doktor;médico
der Dolmetscher;intérprete
der Elektriker;electricista
die Empfangsdame;recepcionista
der Fahrer;conductor
der Forscher;investigador
der Fotograf;fotógrafo
das Fotomodell;modelo
das Fotomodell;modelo
der Frisör;peluquero
die Hausfrau;ama de casa
der Hausmeister;conserje
der Ingenieur;ingeniero
der Journalist;periodista
der Kapitän;capitán
der Kassierer;cajero
die Kassiererin;cajera
der Klempner;fontanero
der Koch;cocinero
die Köchin;cocinera
die Krankenschwester;enfermera
der Künsler;artísta
der Lehrer;maestro
der Lehrer;profesor
die Lehrerin;profesora
die Lehrerin;maestra
der Lokführer;maquinista
der Maler;pintor
der Manager;gerente
der Manager;mánager
der Maurer;albañil
der Metzger;carnicero
das Modell;modelo
das Modell;modelo
der Mönch;monje
der Musiker;músico
die Nonne;monja
der Notar;notario
der Optiker;óptico
der Pfleger;enfermero
die Pflegerin;enfermera
der Pilot;piloto
der Politiker;político
die Politikerin;política
der Polizist;agente de policía
der Polizist;policía
der Postbote;cartero
der Professor;profesor
der Programmierer;programador
der Richter;juez
der Sänger;cantante
die Sängerin;cantante
der Schreiber;escritor
der Schriftsteller;escritor
der Sekretär;secretario
die Sekretärin;secretaria
der Soldat;soldado
der Taxifahrer;taxista
der Tierarzt;veterinario
der Übersetzer;traductor
der Verkäufer;vendedor
der Winzer;viticultor
der Zahnarzt;dentista
die Zahnärztin;dentista
der Zimmermann;carpintero
